Left Hand Side,Right Hand Side,Support,Confidence,Lift
ACICLOVIR,BENZOILO,0.0062800641368252275,0.3197278911564626,18.265981201640965
ACICLOVIR,CLIOQUINOL,0.012025654730090861,0.6122448979591838,33.4455534038433
ACICLOVIR,ÁCIDO RETINOICO,0.012025654730090861,0.6122448979591838,31.170345689296134
ALBENDAZOL,BENCILPENICILINA BENZATINICA COMPUESTA,0.005879208979155532,0.6027397260273973,21.58327325162221
ALBENDAZOL,POLIVITAMINAS Y MINERALES,0.003874933190807055,0.3972602739726028,5.356929532271998
AMIKACINA,KETOROLACO,0.017771245323356492,0.4889705882352941,27.514705882352942
AMIKACINA,VANCOMICINA,0.036344200962052375,1.0,27.514705882352942
BAÑO COLOIDE,AMIODARONA,0.005611972207375735,1.0,12.411276948590382
BUTILHIOSCINA,AMIODARONA,0.02258150721539284,1.0,12.411276948590382
ETOMIDATO,AMIODARONA,0.005611972207375735,0.33333333333333337,4.137092316196794
AMIODARONA,ÁCIDO FOLÍNICO,0.03794762159273116,0.4709784411276948,10.812278077913092
AMOXICILINA,BENCILPENICILINA BENZATINICA COMPUESTA,0.013762693746659541,0.4975845410628019,17.81781198714837
AMPICILINA,AMOXICILINA-CLAVULANATO,0.006547300908605024,1.0,16.970521541950113
AMOXICILINA-CLAVULANATO,CLORURO DE SODIO,0.0431587386424372,0.7324263038548753,7.33798990368124
AMOXICILINA-CLAVULANATO,FENITOÍNA SODICA,0.032068412613575625,0.5442176870748299,4.883603321424492
HALOPERIDOL,AMOXICILINA-CLAVULANATO,0.002405130946018172,0.3214285714285714,5.4548104956268215
AMOXICILINA-CLAVULANATO,POLIVITAMINAS Y MINERALES,0.027124532335649387,0.46031746031746035,6.207235807235808
AMPICILINA,ÁCIDO ACETILSALICÍLICO,0.006547300908605024,1.0,8.804705882352941
BENCILPENICILINA SODICA CRISTALINA,CIPROFLOXACINO,0.025521111704970605,0.6701754385964913,21.90215276181721
BENCILPENICILINA SODICA CRISTALINA,CLORURO DE SODIO,0.012827365045430252,0.33684210526315794,3.374734023814557
LORATADINA,BENCILPENICILINA SODICA CRISTALINA,0.006547300908605024,1.0,26.25964912280702
BENZOILO,CLIOQUINOL,0.0062800641368252275,0.3587786259541985,19.599264501030817
BENZOILO,KETOCONAZOL,0.01122394441475147,0.6412213740458016,20.68491708344301
BENZOILO,MICONAZOL,0.005611972207375735,0.3206106870229008,24.236872542216055
BENZOILO,ÁCIDO RETINOICO,0.0062800641368252275,0.3587786259541985,18.265981201640965
BUTILHIOSCINA,ÁCIDO FOLÍNICO,0.02258150721539284,1.0,22.957055214723926
CEFALOTINA,CISPLATINO,0.0062800641368252275,1.0,77.15463917525773
CEFALOTINA,CLINDAMICINA,0.0062800641368252275,1.0,77.15463917525773
CIPROFLOXACINO,CLORURO DE SODIO,0.012827365045430252,0.41921397379912667,4.1999964925203
CISPLATINO,CLINDAMICINA,0.01296098343132015,1.0,77.15463917525773
CLIOQUINOL,KETOCONAZOL,0.0062800641368252275,0.34306569343065696,11.066826076013088
CLIOQUINOL,ÁCIDO RETINOICO,0.012025654730090861,0.6569343065693432,33.4455534038433
CLORANFENICOL,DICLOFENACO,0.006146445750935329,0.4946236559139785,18.790677364772666
CLORURO DE SODIO,FENITOÍNA SODICA,0.07349011223944414,0.7362784471218206,6.607083810862956
CLORURO DE SODIO,POLIVITAMINAS Y MINERALES,0.05117584179583111,0.5127175368139224,6.913834316243955
DIAZEPAM,VALPROATO DE MAGNESIO,0.018305718866916086,0.7172774869109947,8.23328943564706
ÁCIDO FÓLICO,DIAZEPAM,0.005611972207375735,1.0,39.18324607329843
DICLOFENACO,NAFAZOLINA,0.01296098343132015,0.49238578680203043,37.98984771573604
DICLOFENACO,SULFACETAMIDA,0.01296098343132015,0.49238578680203043,20.35920015705191
TIMOLOL,DICLOFENACO,0.007349011223944415,1.0,37.98984771573604
EPINEFRINA,LÍPIDOS INTRAVENOSOS,0.013495456974879744,0.6917808219178083,14.068716497915426
ETOMIDATO,FENITOÍNA SODICA,0.01122394441475147,0.6666666666666667,5.982414068745005
ETOMIDATO,ÁCIDO FOLÍNICO,0.005611972207375735,0.33333333333333337,7.652351738241309
HALOPERIDOL,FENITOÍNA SODICA,0.0074826296098343134,1.0,8.973621103117505
FENITOÍNA SODICA,POLIVITAMINAS Y MINERALES,0.051576696953500804,0.4628297362110312,6.241113055501545
GENTAMICINA,HEPARINA,0.007215392838054517,1.0,68.66055045871559
GENTAMICINA,INDOMETACINA,0.007215392838054517,1.0,13.60727272727273
HALOPERIDOL,POLIVITAMINAS Y MINERALES,0.0074826296098343134,1.0,13.484684684684684
HEPARINA,INDOMETACINA,0.014564404061998932,1.0,13.60727272727273
INDOMETACINA,METAMIZOL,0.05892570817744522,0.8018181818181819,3.417316214537171
INDOMETACINA,PENTOXIFILINA,0.042891501870657406,0.5836363636363637,4.082181818181819
SOLUCIÓN HARTMANN,INDOMETACINA,0.019909139497594867,0.4093406593406593,5.570009990009989
SOLUCIÓN PARA DIÁLISIS PERITONEAL AL 1.5%,INDOMETACINA,0.015900587920897914,0.5409090909090909,7.360297520661158
KETOCONAZOL,MICONAZOL,0.013228220203099947,0.4267241379310345,32.25862068965517
ÁCIDO RETINOICO,KETOCONAZOL,0.007616247995724212,0.38775510204081637,12.508444757213232
KETOROLACO,VANCOMICINA,0.017771245323356492,1.0,27.514705882352942
LIDOCAÍNA,METAMIZOL,0.06574024585783003,1.0,4.261958997722096
LIDOCAÍNA,ÁCIDO ACETILSALICÍLICO,0.04609834313201497,0.701219512195122,6.174031563845051
LÍPIDOS INTRAVENOSOS,PENTOXIFILINA,0.02084446819882416,0.42391304347826086,2.965014221861032
LÍPIDOS INTRAVENOSOS,VALPROATO DE MAGNESIO,0.028059861036878676,0.5706521739130435,6.550246732461989
PARACETAMOL,METAMIZOL,0.023917691074291824,0.3018549747048904,1.2864935254506833
METAMIZOL,PENTOXIFILINA,0.08845537145911278,0.37699316628701596,2.636838183637409
SOLUCIÓN HARTMANN,METAMIZOL,0.04863709246392304,1.0,4.261958997722096
SOLUCIÓN PARA DIÁLISIS PERITONEAL AL 1.5%,METAMIZOL,0.02939604489577766,1.0,4.261958997722096
SOLUCIÓN PARA DIÁLISIS PERITONEAL AL 2.5%,METAMIZOL,0.004142169962586852,1.0,4.261958997722096
METAMIZOL,ÁCIDO ACETILSALICÍLICO,0.07322287546766434,0.31207289293849655,2.7477100361784803
METILDOPA,METRONIDAZOL,0.013762693746659541,0.40234375000000006,29.234375000000004
MICONAZOL,ÁCIDO RETINOICO,0.007616247995724212,0.5757575757575758,29.312719027004746
NAFAZOLINA,SULFACETAMIDA,0.01296098343132015,1.0,41.34806629834254
NAFAZOLINA,TIMOLOL,0.007349011223944415,0.5670103092783505,77.15463917525773
OMEPRAZOL,RANITIDINA,0.005879208979155532,1.0,47.36708860759493
SOLUCIÓN HARTMANN,PENTOXIFILINA,0.041555318011758414,0.8543956043956042,5.975978227380096
SOLUCIÓN PARA DIÁLISIS PERITONEAL AL 1.5%,PENTOXIFILINA,0.021245323356493855,0.7227272727272728,5.055038232795242
SOLUCIÓN PARA DIÁLISIS PERITONEAL AL 2.5%,PENTOXIFILINA,0.0033404596472474614,0.8064516129032259,5.640639131745553
SULFACETAMIDA,TIMOLOL,0.007349011223944415,0.30386740331491713,41.34806629834254
ÁCIDO FÓLICO,VALPROATO DE MAGNESIO,0.005611972207375735,1.0,11.478527607361963
ACICLOVIR,BENZOILO,0.0062800641368252275,0.3197278911564626,50.91156462585034
ACICLOVIR,BENZOILO,0.0062800641368252275,0.3197278911564626,50.91156462585034
ACICLOVIR,ÁCIDO RETINOICO,0.012025654730090861,0.6122448979591838,50.911564625850346
AMIKACINA,VANCOMICINA,0.017771245323356492,0.4889705882352941,27.514705882352942
BUTILHIOSCINA,AMIODARONA,0.02258150721539284,1.0,26.35211267605634
ETOMIDATO,AMIODARONA,0.005611972207375735,0.33333333333333337,59.3968253968254
AMPICILINA,ÁCIDO ACETILSALICÍLICO,0.006547300908605024,1.0,152.73469387755102
AMOXICILINA-CLAVULANATO,FENITOÍNA SODICA,0.029663281667557457,0.5034013605442177,6.849919604205319
AMOXICILINA-CLAVULANATO,CLORURO DE SODIO,0.005745590593265634,1.0,10.018741633199465
AMOXICILINA-CLAVULANATO,POLIVITAMINAS Y MINERALES,0.024719401389631215,0.41950113378684806,8.197249308774857
HALOPERIDOL,AMOXICILINA-CLAVULANATO,0.002405130946018172,0.3214285714285714,10.023214285714285
AMOXICILINA-CLAVULANATO,FENITOÍNA SODICA,0.005745590593265634,1.0,8.973621103117505
AMOXICILINA-CLAVULANATO,FENITOÍNA SODICA,0.020042757883484766,0.34013605442176864,6.594762257234499
HALOPERIDOL,AMOXICILINA-CLAVULANATO,0.002405130946018172,0.3214285714285714,11.850105559465163
BENCILPENICILINA BENZATINICA COMPUESTA,PENTOXIFILINA,0.008284339925173703,1.0,6.9943925233644855
BENCILPENICILINA BENZATINICA COMPUESTA,SOLUCIÓN HARTMANN,0.008284339925173703,1.0,20.56043956043956
BENCILPENICILINA BENZATINICA COMPUESTA,SOLUCIÓN HARTMANN,0.008284339925173703,1.0,20.56043956043956
BENCILPENICILINA SODICA CRISTALINA,CIPROFLOXACINO,0.012827365045430252,0.33684210526315794,26.25964912280702
BENZOILO,ÁCIDO RETINOICO,0.0062800641368252275,0.3587786259541985,29.83443596268024
BENZOILO,MICONAZOL,0.005611972207375735,0.3206106870229008,24.236872542216055
CEFALOTINA,CISPLATINO,0.0062800641368252275,1.0,77.15463917525773
CLORURO DE SODIO,FENITOÍNA SODICA,0.005745590593265634,1.0,8.973621103117505
CLORURO DE SODIO,FENITOÍNA SODICA,0.04409406734366649,0.4417670682730924,8.565245437709388
ÁCIDO FÓLICO,DIAZEPAM,0.005611972207375735,1.0,54.627737226277375
DICLOFENACO,NAFAZOLINA,0.01296098343132015,0.49238578680203043,37.98984771573604
NAFAZOLINA,DICLOFENACO,0.007349011223944415,0.5670103092783505,77.15463917525773
SULFACETAMIDA,DICLOFENACO,0.007349011223944415,0.30386740331491713,41.34806629834254
ETOMIDATO,ÁCIDO FOLÍNICO,0.005611972207375735,0.33333333333333337,59.3968253968254
HALOPERIDOL,FENITOÍNA SODICA,0.0074826296098343134,1.0,19.388601036269428
LÍPIDOS INTRAVENOSOS,VALPROATO DE MAGNESIO,0.007215392838054517,1.0,11.478527607361963
GENTAMICINA,HEPARINA,0.007215392838054517,1.0,68.66055045871559
INDOMETACINA,METAMIZOL,0.042891501870657406,0.5836363636363637,6.598088437242517
SOLUCIÓN HARTMANN,INDOMETACINA,0.019909139497594867,0.4093406593406593,6.946724477336721
SOLUCIÓN PARA DIÁLISIS PERITONEAL AL 1.5%,INDOMETACINA,0.015900587920897914,0.5409090909090909,9.17950937950938
INDOMETACINA,METAMIZOL,0.0008017103153393907,1.0,4.261958997722096
SOLUCIÓN HARTMANN,PENTOXIFILINA,0.012827365045430252,0.6442953020134229,4.506454243241548
SOLUCIÓN PARA DIÁLISIS PERITONEAL AL 1.5%,PENTOXIFILINA,0.00774986638161411,0.4873949579831933,3.409031650043195
MICONAZOL,ÁCIDO RETINOICO,0.007616247995724212,0.5757575757575758,75.5959595959596
LIDOCAÍNA,ÁCIDO ACETILSALICÍLICO,0.04609834313201497,0.701219512195122,9.576508812533383
LÍPIDOS INTRAVENOSOS,VALPROATO DE MAGNESIO,0.02084446819882416,0.42391304347826086,20.33695652173913
SOLUCIÓN HARTMANN,METAMIZOL,0.041555318011758414,0.8543956043956042,9.659058464194413
